"SampleID","Year","Region","Site","Tissue","Replicate","meanCq","meanSQ","countRep","leaf_mass","cells_per_uL","dilute_cells_in_extraction","total_cells_in_extraction","cells_per_g","cells_per_mg","Result"
"2021_BB_A_L_18",2021,"BB","A","L","18",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_A_L_19",2021,"BB","A","L","19",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_A_L_9",2021,"BB","A","L","9",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_D_G_5",2021,"BB","D","G","5",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_D_G_6",2021,"BB","D","G","6",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_D_G_7",2021,"BB","D","G","7",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_D_G_8",2021,"BB","D","G","8",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_D_G_9",2021,"BB","D","G","9",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_D_L_5",2021,"BB","D","L","5",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_D_L_6",2021,"BB","D","L","6",25.5768957436567,129.672515532022,1,0.0328,64.8362577660112,6483.62577660112,64836.2577660112,1976715.17579303,1976.71517579303,"Positive"
"2021_BB_D_L_7",2021,"BB","D","L","7",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_D_L_8",2021,"BB","D","L","8",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_D_L_9",2021,"BB","D","L","9",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_F_G_1",2021,"BB","F","G","1",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_F_G_10",2021,"BB","F","G","10",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_F_G_8",2021,"BB","F","G","8",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_F_G_9",2021,"BB","F","G","9",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_F_L_1",2021,"BB","F","L","1",34.8970270163042,0.157528693377742,1,0.0243,0.078764346688871,7.8764346688871,78.764346688871,3241.33113945971,3.24133113945971,"Positive"
"2021_BB_F_L_10",2021,"BB","F","L","10",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BB_F_L_11",2021,"BB","F","L","11",32.7241762924324,0.755815191646863,1,0.0188,0.377907595823431,37.7907595823431,377.907595823432,20101.4678629485,20.1014678629485,"Positive"
"2021_BB_F_L_8",2021,"BB","F","L","8",32.7642107992175,0.732899037778429,1,0.03,0.366449518889215,36.6449518889215,366.449518889215,12214.9839629738,12.2149839629738,"Positive"
"2021_BB_F_L_9",2021,"BB","F","L","9",32.0062718404319,1.26621853574889,1,0.0316,0.633109267874445,63.3109267874445,633.109267874445,20035.1034137483,20.0351034137483,"Positive"
"2021_BC_A_G_1",2021,"BC","A","G","1",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BC_A_G_3",2021,"BC","A","G","3",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BC_A_G_6",2021,"BC","A","G","6",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BC_A_L_2",2021,"BC","A","L","2",30.8076199620138,2.9911057929882,1,0.0318,1.4955528964941,149.55528964941,1495.5528964941,47029.9652985565,47.0299652985565,"Positive"
"2021_BC_A_L_3",2021,"BC","A","L","3",31.1216494340837,2.39517832025935,1,0.0203,1.19758916012968,119.758916012968,1197.58916012968,58994.5399078658,58.9945399078658,"Positive"
"2021_BC_A_L_6",2021,"BC","A","L","6",34.0294516626578,0.29351993209195,1,0.01,0.146759966045975,14.6759966045975,146.759966045975,14675.9966045975,14.6759966045975,"Positive"
"2021_BC_B_L_1",2021,"BC","B","L","1",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BC_B_L_2",2021,"BC","B","L","2",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BC_D_L_1",2021,"BC","D","L","1",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BC_D_L_10",2021,"BC","D","L","10",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BC_D_L_2",2021,"BC","D","L","2",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BC_D_L_4",2021,"BC","D","L","4",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BC_D_L_8",2021,"BC","D","L","8",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BC_E_G_3",2021,"BC","E","G","3",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BC_E_G_4",2021,"BC","E","G","4",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BC_E_G_6",2021,"BC","E","G","6",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BC_E_G_7",2021,"BC","E","G","7",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BC_E_L_3",2021,"BC","E","L","3",30.3731640799273,4.09958807424546,1,0.0159,2.04979403712273,204.979403712273,2049.79403712273,128917.863969983,128.917863969983,"Positive"
"2021_BC_E_L_4",2021,"BC","E","L","4",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_BC_E_L_6",2021,"BC","E","L","6",32.5452051119347,0.857943722880376,1,0.0212,0.428971861440188,42.8971861440188,428.971861440188,20234.5217660466,20.2345217660466,"Positive"
"2021_BC_E_L_7",2021,"BC","E","L","7",30.8161955806881,2.97472170925907,1,0.0208,1.48736085462953,148.736085462953,1487.36085462953,71507.7333956507,71.5077333956507,"Positive"
"2021_OR_B_G_1",2021,"OR","B","G","1",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_B_G_10",2021,"OR","B","G","10",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_B_G_2",2021,"OR","B","G","2",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_B_G_3",2021,"OR","B","G","3",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_B_G_4",2021,"OR","B","G","4",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_B_G_5",2021,"OR","B","G","5",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_B_G_6",2021,"OR","B","G","6",0,0,1,NA,0,0,0,NA,0,"Negative"
